profile,userid,genres.Action,genres.Adventure,genres.Comedy,genres.Demons,genres.Drama,genres.Fantasy,genres.Game,genres.Historical,genres.Horror,genres.Magic,genres.Mecha,genres.Military,genres.Music,genres.Mystery,genres.Parody,genres.Police,genres.Psychological,genres.Romance,genres.School,genres.Sci-Fi,genres.Seinen,genres.Shoujo,genres.Shounen,genres.Slice of Life,genres.Space,genres.Sports,genres.Super Power,genres.Supernatural,genres.Thriller
Trias707,1,67,15,18,5,10,21,4,0,1,5,15,8,2,7,1,2,0,6,7,25,4,4,16,2,8,2,6,11,0
Kitlan,2,28,16,16,0,8,4,0,0,4,2,14,5,1,1,1,1,1,3,2,53,4,1,12,1,9,1,5,3,0
pillow102,3,8,4,35,1,1,5,0,0,1,1,1,0,2,1,3,2,0,2,4,2,4,2,4,2,0,3,0,3,0
Ravioli_Heichou,4,9,47,17,0,9,15,2,9,1,5,4,1,1,3,1,0,2,6,0,14,4,2,9,1,3,1,3,5,0
Swordarc,5,3,2,39,0,20,8,0,5,0,1,2,1,9,3,0,0,1,14,17,2,10,6,5,70,2,1,0,1,1
Mstarzky,6,23,13,13,17,15,24,1,5,18,8,0,1,1,14,2,0,8,8,5,4,8,7,12,7,0,1,3,59,1
salexandriaka,7,4,2,8,0,4,5,1,0,0,2,3,2,56,0,1,0,0,4,2,4,0,4,1,5,1,0,0,1,0
McMinzy,8,10,3,31,1,9,4,0,0,1,4,3,3,2,3,3,0,1,11,53,9,2,3,17,12,1,5,4,8,0
Shyducko,9,10,2,34,1,10,3,4,0,2,5,1,3,7,4,5,0,0,18,69,4,7,9,11,22,0,8,6,7,1
ilovepho,10,1,0,25,0,11,3,0,5,0,1,1,0,7,1,1,1,0,7,11,1,4,1,2,52,0,0,1,4,0
QuasarTheDragon,11,18,12,11,1,2,40,0,2,2,13,0,1,2,2,1,0,0,3,3,3,1,3,8,2,0,1,1,9,0
RemelaDeOuvido,12,14,18,68,1,7,12,1,1,0,5,5,1,2,6,3,0,0,9,9,12,8,3,9,15,4,1,7,4,0
HaruHaru304,13,10,8,40,0,1,2,2,1,0,3,4,0,4,2,4,4,1,3,5,7,4,2,6,3,0,1,1,4,0
Heliothanos,14,38,44,33,3,15,97,2,5,7,26,3,3,6,4,3,0,4,10,2,17,2,3,20,11,0,0,2,14,0
Chinatsu,15,2,1,10,0,4,1,0,0,0,0,1,0,46,0,1,0,0,2,4,3,1,2,1,6,1,1,0,3,0
XzellaZ,16,35,27,35,6,21,11,5,6,2,7,10,3,0,4,1,3,1,10,11,21,0,0,78,9,4,19,2,10,0
LordHenrold,17,38,32,45,3,16,22,2,2,2,7,13,3,0,4,2,0,0,4,12,26,0,0,80,11,3,11,8,8,0
ImmortalShadow,18,24,19,29,2,8,18,3,3,0,3,7,3,0,5,0,3,3,3,10,13,0,0,50,3,2,8,5,9,0
Ampelius,19,5,8,20,5,16,15,0,5,2,20,0,1,4,1,0,0,1,26,13,2,0,57,0,13,0,1,0,6,0
Evermourn,20,8,4,19,1,14,3,0,2,0,2,0,4,2,3,0,0,1,35,10,7,4,6,2,7,3,2,1,1,1
LytO,21,8,2,42,2,15,7,0,1,2,6,1,1,7,4,4,0,1,24,74,2,7,11,18,22,1,13,3,8,2
Natsuriko,22,4,0,8,0,7,6,1,0,0,0,2,2,90,0,1,0,1,6,3,7,0,3,0,9,4,1,0,1,0
SpleenMachine,23,4,0,2,0,7,1,0,3,0,0,2,3,71,1,3,0,1,7,6,4,0,6,1,9,1,1,1,3,0
ID-69,24,14,12,8,2,19,9,0,47,2,5,1,4,2,4,1,0,1,11,1,4,5,6,4,7,0,0,1,8,0
IonDrako,25,28,19,23,5,13,43,0,5,1,64,4,1,0,2,1,0,2,11,5,4,1,17,8,7,0,0,4,12,2
Happycougar,26,36,10,7,4,7,9,3,1,4,2,6,5,1,3,1,0,0,2,4,17,5,1,4,1,5,1,4,3,1
GOKU_NO_SORROW,27,15,13,19,0,66,13,0,14,0,5,6,8,9,3,0,0,3,17,8,13,3,8,11,8,6,5,1,3,2
etherealharmony,28,9,19,15,3,31,11,0,64,0,2,3,5,1,0,2,0,1,10,1,4,5,4,4,6,0,0,1,6,0
animegirl16091,29,20,18,21,4,8,11,2,4,0,4,5,3,0,4,0,1,1,3,7,11,0,0,45,4,2,9,0,6,1
ManiacalMind,30,18,18,28,0,5,9,0,0,1,4,6,4,1,6,3,1,0,3,5,14,0,0,48,3,1,9,2,3,0
2Mat,31,2,2,28,0,5,2,0,1,0,2,1,0,3,1,1,0,0,7,10,4,5,3,4,40,1,2,0,1,0
Light4494,32,5,2,12,0,11,4,0,1,0,1,2,1,97,0,1,0,0,6,9,7,1,5,1,11,1,0,0,1,0
Alfreflow,33,35,24,45,4,16,59,2,2,1,91,4,2,2,4,5,0,1,10,10,9,5,21,18,5,1,0,5,15,0
RaveAihara,34,14,8,74,0,5,10,1,1,0,6,1,1,4,3,13,1,0,8,14,6,11,2,8,16,1,4,3,3,0
lolwtfbbqomg,35,23,12,35,1,12,5,1,4,4,2,3,0,1,9,1,4,3,6,12,13,62,0,0,13,4,0,1,9,3
RebbieChan,36,6,6,22,0,15,7,1,5,0,7,2,1,2,3,1,0,1,38,11,5,3,7,3,7,0,1,0,7,0
Protaku,37,14,16,85,2,9,12,0,3,1,6,7,1,1,4,11,1,0,6,15,11,12,4,18,17,1,4,3,5,0
ran88dom99,38,12,14,97,3,13,17,3,2,0,4,7,3,7,5,6,1,1,9,14,12,6,5,19,20,1,7,4,8,0
Dips,39,55,21,16,0,13,8,1,3,0,0,81,17,0,0,9,3,0,3,3,59,3,1,22,3,15,1,3,0,0
hentaisoulbrotha,40,30,21,11,1,12,8,2,0,2,3,16,5,3,4,2,2,3,3,5,55,3,1,6,3,10,0,4,2,0
Wicked_Ecdysiast,41,18,12,11,1,9,2,0,0,1,0,15,7,3,4,2,2,1,3,1,45,1,0,8,3,8,0,2,2,3
justa333,42,17,8,13,8,8,10,0,5,58,2,1,0,0,14,1,2,13,1,4,6,5,0,7,0,1,1,1,24,4
FuchsiaFree,43,21,20,17,1,81,17,2,14,4,6,4,11,2,5,0,1,2,18,7,20,7,8,9,16,5,3,2,7,2
LovelySilver,44,97,26,24,9,21,29,6,6,5,10,20,13,2,14,1,2,0,9,5,36,7,1,29,1,9,0,17,18,4
Sybill,45,9,11,64,3,4,7,0,2,1,5,2,1,2,4,8,2,0,7,9,5,5,4,10,14,0,3,2,6,0
Leclerq,46,9,0,33,2,13,9,0,0,1,3,2,0,4,2,1,0,0,15,56,5,8,1,12,12,1,4,0,5,0
Krinul_Kaki,47,60,14,43,4,14,19,0,0,0,11,7,5,1,14,8,0,1,6,13,26,7,4,26,0,1,0,87,17,3
Hysokaa,48,18,4,54,0,15,8,2,0,3,7,0,2,10,1,5,0,0,24,93,6,12,12,23,26,0,11,4,8,1
Sao45,49,5,7,58,0,0,12,2,1,0,6,2,3,3,0,72,0,0,4,11,9,5,2,7,7,1,1,3,3,0
Cupycakey,50,42,38,49,6,14,27,5,5,2,5,12,0,0,8,3,1,2,9,12,25,0,0,96,8,1,17,8,14,0
Firestorm2117,51,11,10,66,3,4,12,1,3,0,3,7,2,1,2,5,0,1,6,9,8,5,3,10,12,0,4,5,7,0
not-reoken,52,51,19,12,2,13,16,3,1,3,7,10,5,4,2,1,3,1,8,2,23,3,5,15,2,7,2,9,10,0
Alexkreka,53,12,7,30,1,13,4,1,6,4,2,1,3,2,8,3,0,3,3,10,6,47,0,0,12,3,4,2,8,1
Torisu5500,54,4,1,11,0,9,8,0,3,0,6,1,1,100,1,1,0,1,4,11,4,1,6,0,12,2,1,1,1,0
padawanbeats,55,42,32,28,2,25,10,2,1,1,5,24,15,5,3,6,5,5,14,4,91,4,1,13,3,17,1,6,4,1
Germs_N_Spices,56,9,8,47,0,5,5,0,3,1,2,0,0,5,1,6,1,1,5,3,7,3,1,6,8,0,2,3,6,0
Carefree859,57,3,3,40,0,22,2,0,5,0,3,0,0,6,2,1,0,0,10,22,4,6,8,6,75,0,3,1,6,0
CREINZAGOV,58,11,3,19,6,9,14,0,1,1,13,0,0,9,1,0,0,0,15,12,3,0,43,0,11,0,3,2,5,1
MonkeyDnatsu,59,4,1,12,1,5,9,2,0,1,6,2,1,90,0,1,0,0,8,7,2,1,6,1,8,2,3,2,4,0
Asharynn,60,30,34,15,9,10,72,3,7,4,22,4,2,3,5,1,0,2,7,4,8,1,6,12,4,0,0,3,17,1
Tomu-Kiku,61,3,4,57,2,25,8,1,3,0,3,0,0,8,0,1,1,1,17,27,3,6,11,9,96,0,3,0,8,0
--skeletor--,62,11,9,77,0,6,10,0,3,0,5,3,0,5,2,13,4,0,9,10,10,9,0,11,13,0,2,4,5,0
love_li-ren,63,33,27,19,7,10,73,3,4,1,19,2,2,3,2,0,2,0,7,3,9,2,5,13,6,0,0,4,10,0
gasaiyunoftw,64,18,6,36,0,23,2,0,0,0,0,1,0,3,0,0,0,0,8,20,7,4,4,41,10,0,88,2,0,0
swimingswiming2,65,15,16,14,4,8,58,2,8,1,16,1,0,0,3,0,0,0,6,2,5,0,3,7,2,0,0,1,9,0
Yifeng,66,22,44,16,5,7,18,1,4,2,5,7,5,0,2,0,3,1,6,0,13,3,1,6,1,4,0,2,6,0
Okabe-Rintarou,67,21,9,9,2,2,15,44,1,0,4,0,0,5,0,3,0,1,5,6,1,2,1,5,4,0,1,0,1,1
whamboriffic,68,10,11,51,3,3,11,0,3,0,8,1,1,2,2,3,1,0,5,13,1,2,9,9,14,0,2,0,8,0
Andre_H,69,1,3,29,1,9,6,0,3,0,4,0,0,2,1,2,1,0,13,13,1,8,3,2,60,0,1,1,5,0
Yasafune,70,31,17,14,3,84,14,0,17,2,2,8,13,7,8,0,1,5,17,9,18,7,5,11,9,6,8,5,11,2
RyderFlynn,71,20,7,9,1,1,17,42,0,1,3,1,2,2,3,5,0,2,3,4,8,0,0,7,2,0,1,0,1,1
Celestial34,72,12,13,22,7,19,13,0,63,0,3,0,1,1,4,4,0,0,12,0,6,7,3,9,8,0,0,1,11,1
Rupleteaser,73,3,2,40,0,11,9,0,3,0,5,2,1,9,0,1,0,0,6,15,3,9,3,2,67,0,2,0,2,0
PsychoticAntics,74,13,7,8,12,10,13,0,1,44,1,1,0,1,6,4,1,7,4,3,9,5,2,3,0,1,1,0,21,0
Checkers18,75,5,2,25,0,7,2,2,0,1,1,3,2,0,1,2,0,1,14,42,5,7,6,7,12,1,5,0,3,0
8zack8,76,1,1,3,1,3,3,1,1,0,0,1,1,40,0,2,0,0,1,3,3,0,3,1,2,2,3,0,2,0
ZarathustraDK,77,27,18,27,5,6,34,1,1,0,56,1,0,0,0,2,0,0,7,4,4,2,14,9,4,1,0,2,10,0
Kimurah,78,54,33,15,1,18,11,0,1,0,2,43,15,3,5,1,6,5,10,4,91,5,2,16,1,13,1,4,3,0
Otanuki,79,19,13,92,4,13,7,1,4,3,4,4,1,3,6,5,4,1,12,15,15,5,5,17,19,1,9,7,9,1
CreativeOtaku,80,31,15,22,67,9,28,1,11,9,9,1,3,3,4,0,0,1,11,4,4,3,8,22,3,0,1,4,38,2
TakaRei,81,90,25,19,4,14,35,4,8,5,14,13,8,3,7,1,7,2,5,3,23,8,4,24,0,1,2,16,11,0
BuncyTheFrog,82,12,16,81,2,5,14,0,1,1,8,4,3,2,4,7,3,0,13,17,5,6,5,19,28,0,3,4,8,0
SaiCRPG,83,85,30,22,2,12,25,8,6,2,9,12,9,1,10,2,6,1,5,5,25,10,2,21,2,5,5,6,10,0
Adam_EiGHT,84,10,14,12,5,21,15,0,65,1,2,1,6,2,5,2,0,1,12,0,3,6,6,4,6,0,0,0,9,0
orihalchon,85,55,27,16,4,14,17,1,1,1,6,8,7,2,3,0,2,0,7,3,23,6,0,13,1,4,0,3,8,1
swifty15,86,6,0,9,2,7,3,1,1,1,1,2,2,79,1,1,0,0,4,6,7,1,3,0,4,2,1,0,2,0
otakukidd,87,2,1,36,1,18,3,1,5,0,6,2,0,8,0,0,1,0,9,17,4,7,6,6,78,2,0,0,7,0
dead-leaves,88,2,0,2,1,4,3,0,0,0,0,2,1,45,0,0,0,1,4,1,1,2,2,1,4,1,0,0,0,0
zero_99,89,26,9,7,0,3,24,55,1,1,4,0,2,6,3,2,0,6,6,6,7,3,0,11,1,0,2,0,5,3
bellenutt,90,13,16,28,4,25,13,0,7,2,10,6,3,5,3,1,0,1,69,11,19,4,13,10,8,3,3,5,17,0
gametime,91,42,23,35,20,21,35,0,10,18,14,2,2,3,18,1,0,7,11,9,7,11,9,28,14,2,0,3,100,4
Wintersunboheme,92,15,22,13,4,5,47,3,3,2,9,1,1,3,4,1,0,1,5,2,6,1,6,8,4,0,0,1,3,0
Cherry-tan,93,13,16,81,1,7,11,0,5,1,3,7,1,1,6,10,3,0,4,11,9,6,3,21,13,0,6,9,4,0
Ainzee,94,18,9,72,3,5,7,1,4,1,6,4,1,1,2,5,4,0,7,14,10,1,4,20,12,0,7,5,7,0
_soley9,95,38,19,26,19,22,32,1,12,14,18,2,5,4,16,1,3,6,18,7,13,8,5,17,11,1,1,5,99,5
HMegami,96,5,10,22,3,20,7,0,5,0,7,4,1,2,4,0,0,1,47,11,7,6,8,7,8,0,1,0,6,0
hawari-22,97,3,1,7,0,5,7,0,0,1,0,0,1,93,0,2,0,0,8,4,3,1,5,1,9,1,2,0,2,0
Determine,98,24,15,11,2,4,19,57,0,0,1,1,4,4,2,4,0,4,4,6,10,5,0,11,3,0,3,0,0,2
SymmetryWizard,99,27,22,29,5,11,39,1,0,2,79,3,1,3,1,3,0,3,15,8,11,5,18,10,8,1,0,8,22,2
moonshine101,100,23,21,32,3,15,44,3,1,1,77,0,1,3,2,3,0,2,13,8,3,4,21,6,5,0,0,4,12,0
DeusSolaris,101,12,8,7,8,8,11,0,0,40,2,1,2,2,6,0,1,6,2,4,7,3,2,5,0,0,0,0,21,1
rpmneko,102,22,21,21,2,16,11,2,3,5,4,2,3,2,63,0,13,5,7,3,13,8,3,19,4,0,1,7,15,7
BBally,103,36,20,25,16,19,32,2,12,13,15,1,2,5,19,2,3,7,15,10,6,10,8,12,7,0,0,8,95,2
RoyalSoul,104,73,19,19,4,10,23,2,2,4,9,16,8,1,5,4,3,2,4,6,29,7,3,17,2,7,1,16,8,2
Red-Screen,105,21,17,21,3,5,9,1,2,1,1,2,2,0,3,0,2,0,1,9,8,0,0,41,2,1,7,3,7,0
Ayria,106,2,2,20,1,10,5,1,3,0,1,2,0,5,1,1,0,0,7,7,5,5,2,5,45,2,1,0,6,0
MattMatterson,107,8,9,44,1,2,7,0,1,0,4,5,2,0,2,6,1,1,2,8,8,4,0,6,10,0,4,3,3,0
anadot_13,108,36,11,14,2,5,11,5,1,1,4,5,2,1,2,1,1,2,1,4,14,2,3,11,2,1,2,5,4,1
Songokussj2,109,9,2,38,1,13,7,2,0,1,4,1,1,3,4,5,0,1,20,69,4,10,5,15,18,0,7,2,6,0
IamNoah,110,8,1,31,0,14,4,3,1,1,4,1,1,3,2,5,0,1,16,54,3,5,7,7,16,0,2,2,1,0
Okiura,111,72,23,17,1,11,21,0,2,4,9,22,9,0,5,0,4,1,4,6,31,5,3,14,1,7,0,10,7,1
ChrisAlex,112,1,3,26,1,10,4,1,3,0,3,0,0,7,2,1,0,0,6,18,2,6,5,6,55,0,2,0,3,0
kittybean,113,25,15,22,2,98,17,2,10,4,3,12,11,4,6,0,0,4,20,8,26,11,6,16,16,4,5,4,8,2
DoodlebugFour,114,15,6,28,0,22,0,0,0,0,0,2,1,5,1,0,1,0,5,26,6,3,5,41,5,0,80,2,0,0
Doug_Dugle,115,25,20,18,1,72,13,1,3,3,6,7,9,7,6,1,1,3,14,6,19,8,7,8,6,6,4,2,6,0
RikoHitsuya,116,23,14,29,1,15,7,0,9,5,1,3,3,1,11,3,2,2,10,4,10,54,0,0,20,1,0,3,8,0
Aestris,117,31,78,28,4,14,26,0,5,4,4,11,3,1,4,0,2,2,10,0,25,6,3,22,3,8,2,4,5,1
alstore,118,15,11,13,1,12,7,2,6,4,1,2,1,0,48,1,4,6,2,3,6,2,1,12,1,0,1,4,13,5
Brainwasher00,119,74,20,16,4,14,14,2,3,4,7,23,14,5,4,1,4,3,7,2,37,6,4,13,0,8,3,4,7,1
Ouryuuken,120,9,3,80,0,0,11,2,6,2,6,4,3,1,1,92,1,1,4,10,11,7,1,7,4,3,2,12,2,0
skullhunterj,121,49,27,12,0,15,10,1,1,2,2,77,18,2,2,4,4,3,3,1,58,1,0,14,1,14,0,3,2,0
pikachuGXD,122,35,16,20,74,7,28,1,16,11,12,0,3,1,5,3,0,1,5,4,3,4,11,20,7,1,2,4,48,1
Snapichan,123,7,7,64,2,7,9,0,3,1,8,1,0,3,2,3,0,1,12,18,3,5,4,8,14,0,2,4,5,0
-Ancient,124,19,22,21,3,85,18,1,11,2,4,6,11,5,2,0,0,4,25,12,17,5,4,10,18,5,5,0,7,3
kokuborou,125,65,9,7,4,40,9,3,11,3,2,38,92,2,5,3,5,2,13,4,55,10,1,9,0,29,0,5,5,1
theotakuparade,126,19,18,22,4,82,13,1,11,2,4,5,7,8,6,0,1,1,21,5,20,6,7,8,15,5,5,2,6,0
LB_is_me,127,15,17,75,2,7,11,2,1,1,6,7,1,2,5,8,1,0,9,7,11,10,3,16,14,0,3,5,6,0
Hjoerdis,128,18,20,94,3,15,17,3,4,0,13,6,2,4,2,11,2,0,8,11,21,7,5,14,16,3,2,5,7,0
ranshaa05,129,19,20,13,5,6,60,4,3,2,12,0,1,7,5,0,0,0,6,0,8,2,8,10,8,1,0,1,10,1
MNP,130,34,38,23,2,12,91,6,7,1,20,0,1,4,3,3,0,2,12,3,10,2,7,15,1,0,1,6,8,0
WordsHere,131,4,2,20,2,14,4,1,6,1,5,3,3,3,2,1,1,0,43,17,9,2,8,6,10,2,0,2,4,0
insaneIntrovert,132,23,7,27,0,11,4,0,4,4,0,3,2,1,10,1,3,2,7,9,6,53,0,0,14,2,3,3,9,0
Sho-san,133,12,14,13,1,10,42,5,4,1,6,1,2,3,2,2,0,0,4,1,4,3,2,3,2,0,0,2,6,0
starryprincess,134,1,0,27,0,5,1,0,2,0,1,0,0,2,1,2,0,1,3,8,0,5,3,6,41,0,2,0,5,0
mudkiip,135,19,17,51,3,37,19,1,12,2,12,4,1,8,4,0,0,4,92,17,13,5,22,9,17,0,2,2,17,2
PapaFishtopher,136,30,25,28,5,10,13,3,3,2,7,6,1,1,6,3,4,3,8,7,15,0,0,62,3,6,9,7,13,1
hellione,137,27,20,31,6,12,45,2,3,1,76,0,2,2,4,3,0,2,11,6,4,4,22,7,7,0,0,1,17,2
0207xander,138,51,24,21,2,16,10,4,1,2,3,24,9,4,2,2,2,3,10,4,80,7,0,17,2,5,3,7,0,1
sandypanda,139,25,16,9,0,13,2,0,0,2,0,24,13,7,1,1,0,1,3,2,45,6,0,4,2,51,0,0,1,0
KasaneD,140,2,0,3,0,9,2,1,3,1,1,0,0,61,1,0,0,1,6,3,1,0,2,1,6,2,1,0,4,0
hivetyrant36,141,32,29,35,5,11,14,7,2,2,8,10,2,1,7,1,4,1,8,6,24,0,0,70,5,2,5,4,10,0
Jaxonfogcap,142,8,8,54,1,3,5,0,2,0,3,4,2,5,1,5,1,1,6,7,9,7,2,8,12,2,2,2,2,0
xDaydreamer,143,17,17,17,3,2,22,2,3,0,38,4,1,3,0,0,0,0,7,3,6,0,9,8,2,1,0,3,2,0
SemperAugustus,144,9,5,72,0,8,10,2,5,2,3,1,2,2,5,5,1,1,7,11,5,8,1,12,15,0,5,4,3,0
izzadorkable,145,2,1,8,0,8,12,1,0,0,5,1,0,75,0,0,0,0,3,2,4,2,2,1,4,2,0,0,0,0
vivi-kun,146,12,4,49,0,18,3,2,1,2,4,1,4,3,1,1,0,1,21,80,5,6,3,18,30,0,13,6,7,0
Krushito226,147,16,13,18,0,73,15,0,12,2,3,6,10,4,6,0,1,4,13,8,8,7,5,9,13,4,6,1,4,0
anime_tops,148,3,5,12,0,8,10,1,1,1,5,1,1,74,0,0,0,1,4,10,5,0,2,1,11,1,0,1,2,0
LoliLivesMatter,149,5,4,12,0,7,3,0,3,1,3,2,1,93,1,1,0,1,4,4,7,0,7,3,10,3,4,0,3,0
EveningRain,150,24,10,10,1,9,4,1,1,4,0,20,5,2,1,2,3,0,4,0,45,3,0,7,1,7,0,2,5,0
Malcavic,151,11,4,52,1,15,8,1,2,3,5,2,4,5,3,2,0,1,27,87,3,7,14,21,30,0,8,5,9,0
Caleb_Kettle,152,2,2,20,2,9,3,0,3,0,2,0,0,1,1,0,0,0,8,6,1,4,4,2,36,0,2,0,3,0
KayR11,153,20,6,5,1,23,7,2,1,14,2,7,2,1,19,2,6,60,2,6,20,10,0,7,2,4,0,1,19,12
Stardust_Hime,154,42,19,14,0,13,4,2,1,2,2,62,16,1,0,3,4,0,3,3,47,2,1,14,1,13,2,3,0,0
KirbyKreamPuff,155,0,2,31,1,12,5,1,2,0,3,0,1,7,0,0,0,0,12,13,1,5,8,4,61,1,0,0,4,0
vikxey,156,26,21,20,5,81,25,0,11,8,7,5,10,4,6,0,1,8,24,10,17,10,5,10,15,3,2,3,10,1
FaraC,157,6,5,36,2,4,6,1,1,0,3,3,1,1,1,5,1,0,3,3,5,3,1,4,4,1,1,1,4,0
Ieatnumbers11,158,48,30,24,2,22,11,2,1,5,3,29,12,3,4,3,1,4,9,6,93,4,0,20,3,17,1,7,4,1
SamIHellaAm,159,98,37,21,6,22,20,5,5,5,8,22,15,2,11,1,2,6,17,6,38,10,0,24,0,10,2,10,15,0
Cookie-Do,160,50,29,17,2,19,10,3,2,3,4,35,15,3,3,2,2,3,10,4,96,5,2,19,1,19,1,9,4,1
RefinedSteel,161,9,13,48,1,8,10,0,1,0,5,4,1,2,3,5,0,2,5,4,11,3,4,7,7,2,0,2,4,0
Cfos,162,10,1,22,0,12,5,2,0,1,3,1,2,3,4,3,0,1,15,60,3,5,6,8,17,0,6,2,5,0
ren6,163,20,16,20,0,67,17,0,7,3,3,3,3,5,8,0,0,4,13,4,13,6,3,9,8,3,3,0,6,0
Yokoai,164,21,18,21,5,4,14,1,0,2,2,5,1,0,4,1,0,2,1,7,8,0,0,42,3,2,6,4,6,1
ianlyy80,165,39,37,20,7,13,73,5,6,3,21,4,1,1,8,0,0,1,11,2,8,2,8,15,2,1,1,2,16,1
baka00punk,166,30,82,23,2,21,29,3,9,3,8,14,3,1,8,1,4,1,9,0,32,5,3,27,3,8,1,3,13,1
Pain-,167,11,14,74,1,8,11,0,3,0,7,4,1,3,2,5,0,0,12,9,13,5,5,16,17,3,3,5,6,0
Gutsu,168,2,1,20,1,14,4,1,2,0,3,0,0,4,0,1,0,0,11,8,3,8,7,3,44,0,2,0,1,0
Arashi92,169,1,5,47,2,26,7,1,7,0,4,0,0,10,2,1,0,0,16,31,2,15,11,5,99,0,1,2,6,0
sabrintb,170,12,16,77,1,8,11,0,3,0,6,1,0,2,2,6,0,1,5,11,5,6,4,16,18,1,7,1,5,0
JesuOtaku_,171,30,37,31,8,15,74,2,6,3,17,1,2,4,1,2,0,2,9,4,9,0,8,18,3,1,1,3,12,1
KayuWaii,172,20,13,95,2,10,8,1,1,0,6,2,1,5,7,9,2,2,14,12,15,11,7,17,23,3,7,5,6,0
Meruru-tan,173,42,15,8,1,33,10,0,4,0,1,32,75,4,1,3,3,2,12,6,48,4,0,14,2,23,0,4,2,0
anii,174,5,5,14,0,16,4,0,3,1,4,0,1,4,1,2,2,2,38,8,2,5,8,5,8,0,0,0,4,1
StYcKz,175,13,20,12,7,31,15,0,74,2,6,1,4,3,3,4,0,0,11,1,4,5,6,7,10,0,0,0,16,0
werberman,176,28,25,24,3,5,15,4,0,2,3,6,1,0,6,0,7,0,4,4,14,0,0,56,2,2,12,3,8,0
mx_anime,177,22,10,4,0,5,5,0,1,0,0,42,8,0,1,1,4,4,3,1,33,2,0,8,0,9,0,1,1,0
seastars,178,0,1,7,0,3,4,1,1,0,0,0,0,66,0,1,0,2,2,5,3,0,2,0,4,0,1,0,2,0
shinsekaiyxri,179,6,5,45,0,6,4,0,3,0,4,4,1,1,3,6,1,1,4,10,6,5,4,8,7,0,3,3,3,0
algeexd,180,6,2,10,1,15,4,3,0,0,1,2,2,97,1,1,0,1,7,8,5,1,8,1,16,2,1,2,2,0
Jetsuey,181,18,9,17,9,9,14,1,6,7,6,1,1,2,10,0,0,6,10,8,5,2,3,9,6,0,0,5,46,3
Clovervirgo,182,49,13,24,0,9,14,0,2,0,4,5,6,2,11,7,0,1,2,5,21,5,1,16,0,2,0,63,14,1
hydrascarlet,183,15,1,54,3,13,3,6,0,2,4,2,3,7,6,6,0,1,24,95,6,8,14,17,32,1,12,5,7,0
KannaFame,184,6,0,4,0,5,3,0,0,0,0,2,2,56,0,1,0,0,4,4,2,1,2,1,5,4,0,0,1,0
slimane_chiboub,185,6,3,31,0,20,2,0,1,0,0,1,2,4,0,0,0,1,3,15,5,2,3,37,6,0,82,1,0,0
forgetmisakira,186,21,14,81,2,12,20,1,3,1,6,7,2,2,4,9,3,0,15,11,11,3,4,18,10,0,6,6,10,0
shakogun,187,26,29,34,6,14,56,1,5,2,90,3,5,4,6,5,1,4,20,10,7,2,23,12,7,0,0,4,17,2
the_wyandotte,188,31,32,22,10,13,75,6,5,1,19,2,3,2,6,0,0,1,13,3,5,2,9,12,5,0,0,3,17,0
lycheemochi,189,1,0,5,0,3,2,0,0,0,3,0,0,52,0,0,0,0,2,4,3,0,4,2,7,0,1,0,3,0
ZhouThien,190,81,35,25,8,18,27,7,5,3,7,11,8,4,12,2,2,2,4,1,27,12,0,23,0,4,3,8,11,2
XxOtakuKamixX,191,7,7,65,1,3,9,2,1,0,2,0,1,1,3,7,3,1,5,11,7,4,5,6,15,0,1,2,6,0
Metalixx,192,4,7,15,1,23,9,2,2,0,3,1,1,3,3,0,0,2,40,13,6,1,10,6,3,0,2,1,2,1
Kissen49,193,35,40,32,8,18,95,6,3,2,26,2,4,5,2,0,0,4,13,2,14,1,8,17,2,1,0,4,11,1
Bureiko,194,32,21,17,3,5,33,86,3,0,4,2,3,5,4,2,0,2,6,7,16,3,1,21,4,2,0,0,4,0
olivecrayola,195,15,10,63,1,5,12,0,1,2,2,7,2,2,3,5,1,1,7,10,13,3,4,13,11,0,2,6,4,0
migmigbigboy,196,2,3,8,0,3,8,2,2,0,2,1,1,70,0,1,0,0,4,5,4,1,1,0,9,1,0,0,0,0
deaththeloser,197,36,42,35,3,10,98,4,4,3,26,2,5,3,3,5,0,0,10,6,11,3,6,20,1,1,0,7,10,0
Toones,198,9,11,60,0,7,9,0,5,2,5,4,1,4,4,2,1,2,13,4,6,7,1,10,13,0,3,1,5,1
phynto,199,23,22,13,5,16,63,3,3,2,13,0,0,1,5,0,0,4,9,3,2,0,5,13,3,0,0,4,14,2
VK11,200,66,16,45,4,18,15,0,2,1,8,6,3,1,20,15,1,1,3,13,32,12,2,29,2,1,2,97,19,2
marshmishal,201,34,34,20,8,19,85,4,8,3,21,2,4,5,2,4,0,2,12,3,6,2,7,13,4,0,0,2,19,1
OzuThopia,202,11,11,74,2,9,8,1,1,2,5,4,1,4,3,6,1,0,9,13,9,3,1,20,16,1,4,4,4,1
rainbowshit,203,28,23,34,3,8,18,7,3,0,3,8,5,2,5,1,6,0,4,3,11,0,0,60,4,0,10,4,3,0
Advil_Lobotomite,204,12,7,37,0,29,0,1,1,0,0,1,1,3,1,3,1,1,9,27,4,5,7,37,7,0,94,2,1,0
MDG31ST,205,24,13,11,1,4,28,64,1,0,7,2,1,9,1,1,0,2,4,5,9,4,0,11,4,1,1,0,1,1
